C:\selfdrivingcar\training_data\IMG\center_2020_04_17_15_51_29_892.jpg, C:\selfdrivingcar\training_data\IMG\left_2020_04_17_15_51_29_892.jpg, C:\selfdrivingcar\training_data\IMG\right_2020_04_17_15_51_29_892.jpg, 0, 0, 0, 8.055869E-05
C:\selfdrivingcar\training_data\IMG\center_2020_04_17_15_51_30_000.jpg, C:\selfdrivingcar\training_data\IMG\left_2020_04_17_15_51_30_000.jpg, C:\selfdrivingcar\training_data\IMG\right_2020_04_17_15_51_30_000.jpg, 0, 0, 0, 7.935496E-05
C:\selfdrivingcar\training_data\IMG\center_2020_04_17_15_51_30_100.jpg, C:\selfdrivingcar\training_data\IMG\left_2020_04_17_15_51_30_100.jpg, C:\selfdrivingcar\training_data\IMG\right_2020_04_17_15_51_30_100.jpg, 0, 0, 0, 7.983849E-05
C:\selfdrivingcar\training_data\IMG\center_2020_04_17_15_51_30_207.jpg, C:\selfdrivingcar\training_data\IMG\left_2020_04_17_15_51_30_207.jpg, C:\selfdrivingcar\training_data\IMG\right_2020_04_17_15_51_30_207.jpg, 0, 0, 0, 7.958535E-05
C:\selfdrivingcar\training_data\IMG\center_2020_04_17_15_51_30_308.jpg, C:\selfdrivingcar\training_data\IMG\left_2020_04_17_15_51_30_308.jpg, C:\selfdrivingcar\training_data\IMG\right_2020_04_17_15_51_30_308.jpg, 0, 0, 0, 7.963296E-05
C:\selfdrivingcar\training_data\IMG\center_2020_04_17_15_51_30_409.jpg, C:\selfdrivingcar\training_data\IMG\left_2020_04_17_15_51_30_409.jpg, C:\selfdrivingcar\training_data\IMG\right_2020_04_17_15_51_30_409.jpg, 0, 0, 0, 7.968606E-05
C:\selfdrivingcar\training_data\IMG\center_2020_04_17_15_51_30_510.jpg, C:\selfdrivingcar\training_data\IMG\left_2020_04_17_15_51_30_510.jpg, C:\selfdrivingcar\training_data\IMG\right_2020_04_17_15_51_30_510.jpg, 0, 0, 0, 7.99437E-05
C:\selfdrivingcar\training_data\IMG\center_2020_04_17_15_51_30_612.jpg, C:\selfdrivingcar\training_data\IMG\left_2020_04_17_15_51_30_612.jpg, C:\selfdrivingcar\training_data\IMG\right_2020_04_17_15_51_30_612.jpg, 0, 0, 0, 8.000103E-05
C:\selfdrivingcar\training_data\IMG\center_2020_04_17_15_51_30_723.jpg, C:\selfdrivingcar\training_data\IMG\left_2020_04_17_15_51_30_723.jpg, C:\selfdrivingcar\training_data\IMG\right_2020_04_17_15_51_30_723.jpg, 0, 0, 0, 8.00295E-05
C:\selfdrivingcar\training_data\IMG\center_2020_04_17_15_51_30_834.jpg, C:\selfdrivingcar\training_data\IMG\left_2020_04_17_15_51_30_834.jpg, C:\selfdrivingcar\training_data\IMG\right_2020_04_17_15_51_30_834.jpg, 0, 0.3271842, 0, 0.3044428
